num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2023S001088;15/01/2023;10:20:00;AVDA. MANZANARES, 60;60;11;CARABANCHEL;Atropello a persona;Nublado;Bicicleta;Peatón;Más de 74 años;Mujer;6;Asistencia sanitaria inmediata en centro de salud o mutua;438.674.336;4.472.660.565;N;NULL
2023S001093;15/01/2023;13:15:00;CALL. DOCTOR TOLOSA LATOUR, 18;18;12;USERA;Alcance;NULL;Bicicleta;Conductor;De 45 a 49 años;Hombre;NULL;NULL;440.340.163;4.469.423.625;N;NULL
2023S001199;16/01/2023;21:08:00;RONDA. TOLEDO, 3;3;1;CENTRO;Colisión lateral;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;439.949.682;4.473.057.440;N;NULL
2023S001427;19/01/2023;18:43:00;CALL. GOMEZ DE AVELLANEDA / CALL. RIO ULLA;16;15;CIUDAD LINEAL;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;445.507.345;4.476.110.305;N;NULL
2023S001541;20/01/2023;22:35:00;CALL. PLATANO, 8;8;6;TETUÁN;Caída;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;3;Ingreso superior a 24 horas;440.726.580;4.479.841.629;N;NULL
2023S001649;20/01/2023;23:15:00;AVDA. CIUDAD DE BARCELONA, 6;6;3;RETIRO;Colisión lateral;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441.850.676;4.472.999.897;N;NULL
2023S001725;21/01/2023;10:00:00;CALL. FLORENCIA / BRUJAS;2;14;MORATALAZ;Caída;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;1;Atención en urgencias sin posterior ingreso;446.812.813;4.472.550.655;N;NULL
2023S001761;21/01/2023;10:10:00;CALL. AREQUIPA / MAR DE CRISTAL;6;16;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;1;Atención en urgencias sin posterior ingreso;445.904.313;4.480.005.218;N;NULL
2023S001951;22/01/2023;19:55:00;AVDA. MENENDEZ PELAYO / PLAZA. MARIANO DE CAVIA;89;3;RETIRO;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Hombre;1;Atención en urgencias sin posterior ingreso;442.439.269;4.473.271.563;N;NULL
2023S002084;24/01/2023;19:30:00;CALL. JORGE JUAN / CALL. SERRANO;3;4;SALAMANCA;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 45 a 49 años;Hombre;2;Ingreso inferior o igual a 24 horas;441.668.000;4.475.038.794;N;NULL
2023S002176;25/01/2023;21:49:00;PASEO. GENERAL MARTINEZ CAMPOS, 2;2;7;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;440.766.023;4.476.264.369;N;NULL
2023S002182;26/01/2023;1:10:00;PASEO. CASTELLANA, 41;41;7;CHAMBERÍ;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;441.542.171;4.476.248.141;S;NULL
2023S002256;26/01/2023;17:26:00;AVDA. PABLO IGLESIAS / AVDA. DOCTOR FEDERICO RUBIO Y GALI;82;6;TETUÁN;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439.529.419;4.478.469.287;N;NULL
2023S002329;27/01/2023;15:14:00;AVDA. ALBUFERA, 12;12;13;PUENTE DE VALLECAS;Colisión lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;443.299.585;4.472.122.675;N;NULL
2023S002333;27/01/2023;18:35:00;AVDA. NIZA, 10;10;20;SAN BLAS-CANILLEJAS;Alcance;Despejado;Bicicleta;Conductor;De 15 a 17 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;448.539.258;4.475.496.679;N;NULL
2023S002463;28/01/2023;13:31:00;CALL. ALCALA / CALL. ALMERIA;206;4;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;NULL;NULL;443.751.338;4.475.774.494;N;NULL
2023S002492;28/01/2023;20:40:00;CALL. JOAQUIN COSTA / CALL. JOAQUIN COSTA;28;5;CHAMARTÍN;Alcance;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;3;Ingreso superior a 24 horas;442.064.222;4.477.125.560;N;NULL
2023S002593;29/01/2023;12:40:00;CALL. BRUJAS / CALL. ARROYO FONTARRON;34;14;MORATALAZ;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;446.534.063;4.471.852.537;N;NULL
2023S002718;30/01/2023;14:35:00;AVDA. ALBERTO ALCOCER / CALL. PADRE DAMIAN;42;5;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441.902.721;4.478.907.703;N;NULL
2023S002785;31/01/2023;17:00:00;CALL. SAGASTA, 28;28;1;CENTRO;Colisión lateral;NULL;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Mujer;NULL;NULL;440.842.033;4.475.487.862;N;NULL
2023S002800;31/01/2023;19:36:00;CALL. SEPULVEDA / CONCEJ;216;10;LATINA;Caída;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;435.965.276;4.472.484.301;N;NULL
2023S002851;01/02/2023;14:48:00;CALL. SANTA ENGRACIA, 17;17;7;CHAMBERÍ;Alcance;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440.904.038;4.475.743.889;N;NULL
2023S003248;03/02/2023;15:50:00;AVDA. SAN LUIS / CALL. BURGO DE OSMA;55;16;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;NULL;NULL;443.816.428;4.480.383.135;N;NULL
2023S003385;04/02/2023;17:48:00;CALL. BRAVO MURILLO / CALL. AMALIA;332;6;TETUÁN;Alcance;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;441.073.219;4.479.540.995;N;NULL
2023S003499;05/02/2023;11:50:00;CALL. PEÑARANDA DE BRACAMONTE, 4;4;18;VILLA DE VALLECAS;Colisión lateral;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;448.712.540;4.469.575.936;N;NULL
2023S003548;06/02/2023;8:35:00;AVDA. CONCHA ESPINA / CALL. RODRIGUEZ MARIN;31;5;CHAMARTÍN;Alcance;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;2;Ingreso inferior o igual a 24 horas;442.438.486;4.478.105.137;N;NULL
2023S003577;06/02/2023;14:30:00;CALL. LOPEZ DE HOYOS, 299;299;15;CIUDAD LINEAL;Caída;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;14;Sin asistencia sanitaria;443.997.885;4.478.772.787;N;NULL
2023S003695;07/02/2023;7:25:00;CALL. TAMPICO / LOPEZ DE ARANDA;40;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 50 a 54 años;Hombre;1;Atención en urgencias sin posterior ingreso;446.165.727;4.477.223.534;N;NULL
2023S003762;07/02/2023;17:10:00;AVENIDA DE LOS ROSALES CON M-301;0;17;VILLAVERDE;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;De 50 a 54 años;Hombre;2;Ingreso inferior o igual a 24 horas;443.535.479;4.465.120.784;N;NULL
2023S003784;07/02/2023;19:15:00;CALL. GARCIA DE PAREDES / CALL. BRAVO MURILLO;1;7;CHAMBERÍ;Alcance;Lluvia débil;Bicicleta;Conductor;De 60 a 64 años;Hombre;NULL;NULL;440.290.405;4.476.517.306;N;NULL
2023S003811;07/02/2023;21:10:00;CALL. GENOVA, 12;12;1;CENTRO;Alcance;Nublado;Bicicleta;Conductor;De 21 a 24 años;Hombre;NULL;NULL;441.095.885;4.475.376.560;N;NULL
2023S004040;09/02/2023;9:30:00;CALL. RAFAEL CALVO, 9;9;7;CHAMBERÍ;Colisión frontal;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;NULL;NULL;441.010.148;4.476.142.303;N;NULL
2023S004160;09/02/2023;21:05:00;GTA. RUIZ JIMENEZ, 5;5;7;CHAMBERÍ;Colisión lateral;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;NULL;NULL;440.163.861;4.475.682.488;N;NULL
2023S004198;10/02/2023;14:00:00;PASEO. CASTELLANA / CALL. JOAQUIN COSTA;110;5;CHAMARTÍN;Alcance;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;NULL;NULL;441.460.543;4.477.498.034;N;NULL
2023S004277;10/02/2023;22:35:00;CALL. ALCALA / MARQUES DE CUBAS;44;1;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440.966.148;4.474.468.544;N;NULL
2023S004469;11/02/2023;13:55:00;CALL. SAN BERNARDO, 49;49;1;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;De 60 a 64 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;439.988.081;4.475.162.213;N;NULL
2023S004504;11/02/2023;16:00:00;CALLE OBOLO;25;11;CARABANCHEL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;Desconocido;Desconocido;NULL;NULL;437.029.648;4.469.208.681;N;NULL
2023S004669;12/02/2023;7:30:00;CALL. ALCALA / CALL. GOYA;151;4;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442.678.080;4.475.129.782;N;NULL
2023S004793;12/02/2023;15:30:00;CALL. PRINCIPE DE VERGARA / DON RAMON;41;4;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;442.326.755;4.475.589.210;N;NULL
2023S004871;13/02/2023;14:40:00;CALL. ALCALA / CALL. BARQUILLO;49;1;CENTRO;Colisión lateral;NULL;Bicicleta;Conductor;De 21 a 24 años;Hombre;NULL;NULL;440.984.649;4.474.496.237;N;NULL
2023S004875;13/02/2023;19:45:00;AVDA. NICETO ALCALA ZAMORA / CTRA. ESTACION DE HORTALEZA;3;16;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;1;Atención en urgencias sin posterior ingreso;444.944.625;4.481.404.746;N;NULL
2023S004882;13/02/2023;20:33:00;CALL. FRANCOS RODRIGUEZ, 104;104;9;MONCLOA-ARAVACA;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 45 a 49 años;Hombre;2;Ingreso inferior o igual a 24 horas;439.419.583;4.478.871.205;N;NULL
2023S005057;15/02/2023;14:45:00;CALL. MESENA / CALL. ALMARZA;98;16;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;443.764.682;4.479.805.280;N;NULL
2023S005111;15/02/2023;2:25:00;CALL. TOLOSA, 18;18;12;USERA;Caída;Despejado;Bicicleta;Conductor;De 40 a 44 años;Mujer;14;Sin asistencia sanitaria;439.302.595;4.469.441.725;N;NULL
2023S005163;16/02/2023;10:10:00;CALL. JESUS GOLDERO / RICAR;21;2;ARGANZUELA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;NULL;NULL;441.165.303;4.470.818.959;N;NULL
2023S005258;16/02/2023;17:20:00;CALL. CEA BERMUDEZ / GUZMAN EL BU;50;7;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;De 40 a 44 años;Mujer;5;Asistencia sanitaria ambulatoria con posterioridad;439.524.716;4.476.742.982;N;NULL
2023S005280;16/02/2023;21:50:00;PASEO. LA HABANA / HERRE;73;5;CHAMARTÍN;Alcance;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;3;Ingreso superior a 24 horas;442.187.175;4.478.560.356;N;NULL
2023S005357;17/02/2023;16:30:00;CALL. JACOBINIA, 24;24;11;CARABANCHEL;Alcance;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;NULL;NULL;436.304.604;4.469.839.367;N;NULL
2023S005466;17/02/2023;20:05:00;AVDA. REINA VICTORIA, 36;36;9;MONCLOA-ARAVACA;Colisión lateral;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439.722.118;4.477.599.830;N;NULL
2023S005485;17/02/2023;22:45:00;CALL. PINTOR ANTONIO SAURA, 2A;2A;16;HORTALEZA;Atropello a persona;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;444.588.219;4.481.766.148;N;NULL
2023S005485;17/02/2023;22:45:00;CALL. PINTOR ANTONIO SAURA, 2A;2A;16;HORTALEZA;Atropello a persona;Despejado;Bicicleta;Peatón;De 50 a 54 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;444.588.219;4.481.766.148;N;NULL
2023S005629;18/02/2023;0:55:00;CALL. PEZ, 40;40;1;CENTRO;Alcance;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;440.016.675;4.475.092.031;N;NULL
2023S005777;19/02/2023;11:50:00;CALL. ARROYO DEL MONTE, 2;2;8;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;De 50 a 54 años;Mujer;5;Asistencia sanitaria ambulatoria con posterioridad;438.094.692;4.482.051.385;N;NULL
2023S005838;20/02/2023;9:45:00;CALL. SOR ANGELA DE LA CRUZ - TUNEL 07S T-SAC 340;37;6;TETUÁN;Alcance;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;2;Ingreso inferior o igual a 24 horas;440.968.040;4.479.037.772;N;NULL
2023S005839;20/02/2023;9:40:00;AVDA. PORTUGAL / PROVINCIAS;157;10;LATINA;Colisión frontal;NULL;Bicicleta;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;437.303.887;4.473.652.016;N;NULL
2023S005923;21/02/2023;13:20:00;CALL. MARGARITAS, 3;3;6;TETUÁN;Atropello a persona;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;14;Sin asistencia sanitaria;440.093.400;4.478.708.362;N;NULL
2023S005923;21/02/2023;13:20:00;CALL. MARGARITAS, 3;3;6;TETUÁN;Atropello a persona;Despejado;Bicicleta;Peatón;De 65 a 69 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;440.093.400;4.478.708.362;N;NULL
2023S005985;22/02/2023;9:05:00;PASEO. GINEBRA / CALL. SUECIA;15;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;448.735.132;4.475.069.290;N;NULL
2023S006101;23/02/2023;8:50:00;CALL. CROMO, 5;5;2;ARGANZUELA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441.552.317;4.471.313.212;N;NULL
2023S006102;22/02/2023;13:37:00;AVDA. PARTENON / LUXEMBURGO;8;21;BARAJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 70 a 74 años;Hombre;2;Ingreso inferior o igual a 24 horas;447.732.423;4.479.388.329;N;NULL
2023S006132;23/02/2023;18:00:00;CMNO. PERALES, 102;102;12;USERA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441.482.937;4.469.577.018;N;NULL
2023S006235;23/02/2023;21:15:00;CALL. PRINCESA, 98;98;9;MONCLOA-ARAVACA;Colisión lateral;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;1;Atención en urgencias sin posterior ingreso;439.008.374;4.476.264.295;N;NULL
2023S006277;25/02/2023;0:50:00;CALL. MARQUES DE VIANA / CALL. CACTUS;12;6;TETUÁN;Colisión lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;440.654.517;4.479.206.273;N;NULL
2023S006664;26/02/2023;16:35:00;PASEO. GENERAL MARTINEZ CAMPOS, 21;21;7;CHAMBERÍ;Alcance;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441.006.684;4.476.280.726;N;NULL
2023S006670;26/02/2023;16:04:00;PASEO. INFANTA ISABEL, 1;1;3;RETIRO;Alcance;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441.357.022;4.473.347.547;N;NULL
2023S006740;27/02/2023;20:40:00;PASEO. FERNAN NUÑEZ, 1;1;3;RETIRO;Atropello a animal;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 45 a 49 años;Mujer;2;Ingreso inferior o igual a 24 horas;442.176.214;4.474.654.986;N;NULL
2023S006740;27/02/2023;20:40:00;PASEO. FERNAN NUÑEZ, 1;1;3;RETIRO;Atropello a animal;Despejado;Bicicleta EPAC (pedaleo asistido);Peatón;De 35 a 39 años;Mujer;14;Sin asistencia sanitaria;442.176.214;4.474.654.986;N;NULL
2023S006796;28/02/2023;13:20:00;CALL. MARCELO USERA, 13;13;12;USERA;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Hombre;2;Ingreso inferior o igual a 24 horas;440.515.942;4.470.971.979;N;NULL
2023S006922;01/03/2023;15:20:00;CALL. VELAZQUEZ, 52;52;4;SALAMANCA;Colisión frontal;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;2;Ingreso inferior o igual a 24 horas;441.984.559;4.475.416.663;N;NULL
2023S007130;01/03/2023;22:10:00;CALL. BRAVO MURILLO, 125;125;6;TETUÁN;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;440.335.950;4.477.867.582;N;NULL
2023S007134;02/03/2023;1:00:00;CALL. LEONCIO BAUTISTA, 1;1;11;CARABANCHEL;Alcance;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;1;Atención en urgencias sin posterior ingreso;437.868.687;4.472.101.045;N;NULL
2023S007355;02/03/2023;13:30:00;AVDA. LUIS ARAGONES, 4 POSTERIOR E5 DE ESTADIO DEP;4;20;SAN BLAS-CANILLEJAS;Atropello a animal;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;2;Ingreso inferior o igual a 24 horas;449.399.629;4.476.358.951;N;NULL
2023S007386;03/03/2023;9:27:00;CALL. DOCTOR ESQUERDO / CALL. O'DONNELL;53;4;SALAMANCA;Colisión lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 60 a 64 años;Hombre;2;Ingreso inferior o igual a 24 horas;443.243.196;4.474.711.952;N;NULL
2023S007599;03/03/2023;20:10:00;CALL. CASINO / CALL. RIBERA DE CURTIDORES;20;1;CENTRO;Caída;NULL;Bicicleta;Conductor;De 30 a 34 años;Hombre;NULL;NULL;439.994.009;4.473.067.525;N;NULL
2023S007696;04/03/2023;10:32:00;CALL. JULIAN CAMARILLO, 81;81;20;SAN BLAS-CANILLEJAS;Alcance;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;1;Atención en urgencias sin posterior ingreso;447.703.493;4.476.648.326;N;NULL
2023S007709;04/03/2023;16:12:00;CALL. TOLEDO, 174;174;2;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;De 30 a 34 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;439.412.075;4.472.596.614;N;NULL
2023S007813;05/03/2023;12:10:00;CAMINO ALTO DE HORTALEZA;6;16;HORTALEZA;Caída;Nublado;Bicicleta;Conductor;De 60 a 64 años;Hombre;2;Ingreso inferior o igual a 24 horas;446.767.069;4.480.665.390;N;NULL
2023S007815;05/03/2023;12:32:00;CALL. THALER / VIA LUSI;12;11;CARABANCHEL;Caída;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;438.004.472;4.468.852.797;N;NULL
2023S007922;06/03/2023;19:30:00;CALL. VILLANUEVA / CALL. CID;9;4;SALAMANCA;Alcance;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Hombre;NULL;NULL;441.760.904;4.474.870.880;N;NULL
2023S008165;07/03/2023;9:15:00;CARETAR DE HUMERA -- AVDA DEL TALGO;1;9;MONCLOA-ARAVACA;Caída;Lluvia débil;Bicicleta;Conductor;De 35 a 39 años;Hombre;NULL;NULL;434.115.543;4.477.681.047;N;NULL
2023S008179;08/03/2023;9:55:00;GLORIETA JAVIER BELLOSILLO;0;16;HORTALEZA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;De 65 a 69 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;448.423.389;4.482.441.251;N;NULL
2023S008470;09/03/2023;17:45:00;PASEO. EMBARCADERO, 2;2;9;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Hombre;1;Atención en urgencias sin posterior ingreso;437.780.786;4.474.335.115;N;NULL
